Municipio,Nombre,Título,Telefono,Correo electrónico,Dirección,Ubicación
Cañasgordas,AICARDO ANTONIO URREGO ÚSUGA,Alcalde,8564101-8564903-8564319,alcaldia@canasgordas-antioquia.gov.co;contactenos@canasgordas-antioquia.gov.co;,,POINT (-76.024503 6.748005)
Caracolí,FABIÁN DARÍO MARÍN MONSALVE,Alcalde,8336025 Ext 102-8336045,alcaldia@caracoli-antioquia.gov.co;,,POINT (-74.756712 6.410876)
Caramanta,JULIÁN ANDRÉS GRANADA RESTREPO,Alcalde,8553354 - 8553414 - 8553310,alcaldia@caramanta-antioquia.gov.co;,,POINT (-75.644483 5.548681)
Carepa,JONNAN ALEXIS CERQUERA,Alcalde,8239402- 8236706- 8236581-8237131,alcaldia@carepa-antioquia.gov.co;contactenos@carepa-antioquia.gov.co;comunicaciones@carepa-antioquia.gov.co;,,POINT (-76.658245 7.756784)
Carolina del Príncipe,CARLOS ANDRÉS PÉREZ VÁSQUEZ,Alcalde,8634033-8634259 Ext 103 - 8434029,alcaldia@carolinadelprincipe-antioquia.gov.co;contactenos@carolinadelprincipe-antioquia.gov.co;,,POINT (-75.282036 6.723384)
Caucasia,JEFFERSON SARMIENTO ORTIZ,Alcalde,8391595 - 8394444,alcaldia@caucasia-antioquia.gov.co;,,POINT (-75.197357 7.988832)
Chigorodó,ELEAZAR PALACIO HERNÁNDEZ,Alcalde,8253630 - 8253868 - 8255885,alcaldia@chigorodo-antioquia.gov.co;,,POINT (-76.684071 7.672572)
Cisneros,CARLOS ANDRÉS ROJAS TIRADO,Alcalde,8631567,alcaldia@cisneros-antioquia.gov.co;,,POINT (-75.091277 6.546685)
Ciudad Bolívar,MAURICIO MÁRQUEZ VALENCIA,Alcalde,8411183 Ext 12-8412552 - 8411144,alcaldia@ciudadbolivar-antioquia.gov.co;contactenos@ciudadbolivar-antioquia.gov.co;,,POINT (-76.022174 5.850548)
Cocorná,SAUL ALBERTO GIRALDO GÓMEZ,Alcalde,8343404-8343425-8343096-8343529,alcaldia@cocorna-antioquia.gov.co;,,POINT (-75.185219 6.057483)
Concepción,GUSTAVO ALONSO LÓPEZ ORREGO,Alcalde,8567084-8567274-8567176-8567034,alcaldia@concepcion-antioquia.gov.co;,,POINT (-75.259317 6.395569)
Concordia,CARLOS GUSTAVO QUIJANO RESTREPO,Alcalde,8446089-8446101-8446275-8447492,alcaldia@concordia-antioquia.gov.co;,,POINT (-75.907256 6.046154)
Copacabana,HÉCTOR AUGUSTO MONSALVE RESTREPO,Alcalde,2740069-2740041-2742582,alcaldia@copacabana.gov.co;,,POINT (-75.507958 6.34674)
Dabeiba,LEYTON URREGO DURANGO,Alcalde,8590300-8590475-8591234-8591293,alcaldia@dabeiba-antioquia.gov.co;contactenos@dabeiba-antioquia.gov.co;,,POINT (-76.266741 7.001549)
Donmatías,YEISON CAMILO CORREA ÁLVAREZ,Alcalde,8663243-8666230 Ext 109,alcaldia@donmatias-antioquia.gov.co;,,POINT (-75.394275 6.486525)
Ebéjico,ÉDISSON ARIEL TAMAYO MAYA,Alcalde,8562190 EXT 101-8562016,alcaldia@ebejico-antioquia.gov.co;,,POINT (-75.768453 6.326947)
El Bagre,FÁBER ENRIQUE TRESPALACIO,Alcalde,8372429,alcaldia@elbagre-antioquia.gov.co;,,POINT (-74.819303 7.602519)
El Carmen de Viboral,JOHN FREDY QUINTERO ZULUAGA,Alcalde,5432000 Ext 129 - 5432467-5432116-5432020-5432149,alcaldia@elcarmendeviboral-antioquia.gov.co;,,POINT (-75.335226 6.084006)
El Peñol,SORANY ANDREA MARÍN MARÍN,Alcaldesa,8515855-8515851-8515944,alcaldia@elpenol-antioquia.gov.co;,,POINT (-75.243935 6.2169)
El Retiro,NÓLBER DE JESÚS BEDOYA PUERTA,Alcalde,5411860-5410175-5413067-5410180-5410190,alcaldia@elretiro.gov.co;,,POINT (-75.502883 6.058012)
El Santuario,JUAN DAVID ZULUAGA ZULUAGA,Alcalde,5460080 Ext 101-5461172-5460201-5461362,despachoalcaldia@elsantuario-antioquia.gov.co;,,POINT (-75.266014 6.139484)
Entrerríos,WEIMAR VILLA TOBÓN,Alcalde,8670411-8670147-8670412,alcaldia@entrerrios-antioquia.gov.co;contactenos@entrerrios-antioquia.gov.co;,,POINT (-75.517069 6.567837)
Envigado,BRAULIO ALONSO ESPINOSA MÁRQUEZ,Alcalde,3394000 - 3394017  - 3394018,alcaldia@envigado.gov.co;liliana.garcia@envigado.gov.co;,,POINT (-75.588186 6.170669)
Fredonia,GUSTAVO DE JESÚS GUZMÁN MALDONADO,Alcalde,8401264-8401026-8402096-8401393-8402334,alcaldia@fredonia-antioquia.gov.co;contactenos@fredonia-antioquia.gov.co;,,POINT (-75.672258 5.927261)
Frontino,JORGE HUGO ELEJALDE LÓPEZ,Alcalde,8595032 Ext 0-8595037-8595835,alcaldia@frontino-antioquia.gov.co;contactenos@frontino-antioquia.gov.co;,,POINT (-76.128416 6.78051)
Giraldo,JORGE ALCONIDES ÚSUGA CARMONA,Alcalde,8571107 Ext 108-8571106,alcaldia@giraldo-antioquia.gov.co;contactenos@giraldo-antioquia.gov.co;,,POINT (-75.953365 6.680421)
Girardota,DIEGO ARMANDO AGUDELO TORRES,Alcalde,4054200 Ext 102-4052050,contactenos@girardota.gov.co;,,POINT (-75.445702 6.377638)
Gómez Plata,JORGE ADRIÁN PÉREZ ATEHORTUA,Alcalde,8627704-8627806-8627522,alcaldia@gomezplata-antioquia.gov.co;comunicaciones@gomezplata-antioquia.gov.co;contactenos@gomezplata-antioquia.gov.co;,,POINT (-75.219688 6.68087)
Granada,FREDDY CASTAÑO ARISTIZÁBAL,Alcalde,8320549 - 8320802,alcalde@granada-antioquia.gov.co;info@granada-antioquia.gov.co;,,POINT (-75.184164 6.144322)
Guadalupe,CÉSAR AUGUSTO AGUDELO METRIO,Alcalde,8616440 Ext 103 - 8616066,alcaldia@guadalupe-antioquia.gov.co;,,POINT (-75.240632 6.814899)
Guarne,MARCELO BETANCUR RIVERA,Alcalde,5510025-5511026-5510044-5511733,alcaldia@guarne-antioquia.gov.co;,,POINT (-75.442314 6.280015)
Guatapé,JUAN SEBASTIÁN PÉREZ FLÓREZ,Alcalde,8610539-8610555 Ext 12,alcaldia@guatape-antioquia.gov.co;,,POINT (-75.161344 6.234571)
Heliconia,JOHN FREDY ORTIZ TABARES,Alcalde,8549635 Ext 115,alcaldia@heliconia-antioquia.gov.co;,,POINT (-75.733234 6.206858)
Hispania,LEIDY JOHANA CARDONA RUEDA,Alcaldesa,8432862-8432249,alcaldia@hispania-antioquia.gov.co;contactenos@hispania-antioquia.gov.co;,,POINT (-75.90693 5.799211)
Itagüí,JOSÉ FERNANDO ESCOBAR ESTRADA,Alcalde,3737676-3764879,contactenos@itagui.gov.co;,,POINT (-75.609038 6.173538)
Ituango,EDWIN MAURICIO MIRA SEPÚLVEDA,Alcalde,8643020-8643174-8643175,alcaldia@ituango-antioquia.gov.co;,,POINT (-75.76353 7.172532)
Jardín,HÉCTOR JAIME RENDÓN OSORIO,Alcalde,8455550-8455684-8455520,despachoalcalde@eljardin-antioquia.gov.co;,,POINT (-75.818542 5.599324)
Jericó,DAVID ALONSO TORO CADAVID,Alcalde,8523101-8523502-8523665-8524278,alcaldia@jerico-antioquia.gov.co;,,POINT (-75.786266 5.791055)
La Ceja,NELSON FERNANDO CARMONA LOPERA,Alcalde,"5531414 Ext 101-114
5530785 - 5531525",alcaldia@laceja-antioquia.gov.co;alcaldedelaceja@gmail.com;,,POINT (-75.431263 6.030752)
La Estrella,JUAN SEBASTIÁN ABAD BETANCUR,Alcalde,3092687 - 2795841 - 2790058,alcalde@laestrella.gov.co;,,POINT (-75.641988 6.157705)
La Pintada,MARY LUZ CORRALES CHALARCA,Alcaldesa,8453562-8454216,alcaldia@lapintada-antioquia.gov.co;,,POINT (-75.607051 5.741157)
La Unión,ÉDGAR ALEXÁNDER OSORIO LONDOÑO,Alcalde,5560610-5560654-5560630,alcaldia@launion-antioquia.gov.co;,,POINT (-75.361584 5.973469)
Liborina,ADRIANA MARÍA MAYA GALLEGO,Alcaldesa,8561865-8561113,alcaldia@liborina-antioquia.gov.co;contactenos@liborina-antioquia.gov.co;,,POINT (-75.811207 6.677636)
Maceo,CARLOS ALBERTO RESTREPO GONZÁLEZ,Alcalde,8640209-8640277-8640217,alcaldia@maceo-antioquia.gov.co;,,POINT (-74.787371 6.553504)
Marinilla,JOSÉ GILDARDO HURTADO ALZATE,Alcalde,5484410-5484101-5484884-5480265,alcaldia@marinilla-antioquia.gov.co;,,POINT (-75.334811 6.173412)
Medellín,DANIEL QUINTERO CALLE,Alcalde,4444144-3855208-3855209,daniel.quintero@medellin.gov.co;,,POINT (-75.573826 6.244754)
Montebello,VIRGILIO ANTONIO GARZÓN GARZÓN,Alcalde,"8480564 Ext 103-8480561
8480561 (directo 4419970)",alcaldia@montebello-antioquia.gov.co;,,POINT (-75.52418 5.945808)
Murindó,OSWALDO QUEJADA LEDEZMA,Alcalde,8575015-8575021-8575085-8575041 8575017,alcaldia@murindo-antioquia.gov.co;contactenos@murindo-antioquia.gov.co;,,POINT (-76.82131 6.981328)
Mutatá,MARÍA ESILDA PALACIOS GIRALDO,Alcaldesa,8578602-8578812-8578799-8578663-8578113-8578740,alcaldia@mutata-antioquia.gov.co;,,POINT (-76.436928 7.245319)
Nariño,JOHN FREDY CIFUENTES MARÍN,Alcalde,8680077-8680113-8680084-8680117-8680259,alcaldia@narino-antioquia.gov.co;despachoalcalde@narino-antioquia.gov.co;,,POINT (-75.176323 5.609727)
Nechí,MARCOS JAVIER MADERA CAMERO,Alcalde,8368156-8680204,alcaldia@nechi-antioquia.gov.co;,,POINT (-74.775144 8.096972)
Necoclí,JORGE AUGUSTO TOBÓN CASTRO,Alcalde,8214166-8214564-8215039,alcaldia@necocli-antioquia.gov.co;contactenos@necocli-antioquia.gov.co;,,POINT (-76.786353 8.425846)
Olaya,JOSÉ HUMBERTO CARDONA GONZÁLEZ,Alcalde,8550117-8550116-8550119-8550221,alcaldia@olaya-antioquia.gov.co;,,POINT (-75.813178 6.628212)
Peque,FROY FÁBER HERNÁNDEZ TUBERQUIA,Alcalde,8552043-8552213-8552136,alcaldia@peque-antioquia.gov.co;,,POINT (-75.908951 7.022164)
Pueblorrico,CARLOS ARTURO QUINTERO HURTADO,Alcalde,8498865-8498020-8498324,alcalde@pueblorrico-antioquia.gov.co;,,POINT (-75.842187 5.790626)
Puerto Berrío,GUSTAVO ERNESTO MEDINA ZAPATA,Alcalde,8332120-8332517 Ext 205,alcaldia@puertoberrio-antioquia.gov.co;,,POINT (-74.402039 6.489214)
Puerto Nare,JAMEL DE JESÚS MEJÍA VÁSQUEZ,Alcalde,8347047-8346201,alcaldia@puertonare-antioquia.gov.co;contactenos@puertonare-antioquia.gov.co;,,POINT (-74.582201 6.187785)
Puerto Triunfo,JAVIER ARISTIDES GUERRA CASTILLO,Alcalde,8352025-8352117-8352566,alcaldia@puertotriunfo-antioquia.gov.co;contactenos@puertotriunfo-antioquia.gov.co;,,POINT (-74.641213 5.868508)
Remedios,JOHN JAIRO URIBE CASTRILLÓN,Alcalde,8303130-8303078-8303791-8303130,alcaldia@remedios-antioquia.gov.co;contactenos@remedios-antioquia.gov.co;,,POINT (-74.69348 7.028218)
Rionegro,RODRIGO HERNÁNDEZ ALZATE,Alcalde,5204060,alcaldia@rionegro.gov.co;comunicaciones@rionegro.gov.co;,,POINT (-75.373883 6.153068)
Sabanalarga,MOREL ALONSO MAZO GUTIÉRREZ,Alcalde,8554201 - 8554154,alcaldia@sabanalarga-antioquia.gov.co;contactenos@sabanalarga-antioquia.gov.co;,,POINT (-75.818516 6.850752)
Sabaneta,SANTIAGO MONTOYA MONTOYA,Alcalde,2880098-2885294-4440088 Ext 102-2885634,alcaldia@sabaneta.gov.co;,,POINT (-75.616682 6.150871)
Salgar,CARLOS ANDRÉS LONDOÑO VÉLEZ,Alcalde,8442330-8442301-8442213-8442562,alcaldia@salgar-antioquia.gov.co;contactenos@salgar-antioquia.gov.co;,,POINT (-75.979388 5.964542)
San Andrés de Cuerquia,ANA CAROLINA CARVAJAL ARROYAVE,Alcaldesa,8618206-8618173-8618154-8618232,alcaldia@sanandresdecuerquia-antioquia.gov.co;,,POINT (-75.67649 6.914739)
San Carlos,MARY LUZ QUINTERO DUQUE,Alcaldesa,8358090-8358051-8358253-8358066,alcaldia@sancarlos-antioquia.gov.co;contactenos@sancarlos-antioquia.gov.co;,,POINT (-74.990961 6.18779)
San Francisco,DIEGO ALEJANDRO DUQUE VALENCIA,Alcalde,8323030 - 8323236,alcaldia@sanfrancisco-antioquia.gov.co;,,POINT (-75.101745 5.965276)
San Jerónimo,MAURICIO ANDRÉS VELÁSQUEZ SERNA,Alcalde,8582024-8582580-8582162-8582123,alcaldia@sanjeronimo-antioquia.gov.co;,,POINT (-75.727921 6.442394)
San José de la Montaña,ÉDISON MAURICIO CORREA RESTREPO,Alcalde,8622714-8622904,alcaldia@sanjosedelamontana-antioquia.gov.co;contactenos@sanjosedelamontana-antioquia.gov.co;,,POINT (-75.682623 6.850097)
San Juan de Urabá,OSBALDO ANGULO DE LA ROSA,Alcalde,8212100 Ext 108-8212375-8212630-8208100,alcaldia@sanjuandeuraba-antioquia.gov.co;contactenos@sanjuandeuraba-antioquia.gov.co;,,POINT (-76.528593 8.762426)
San Luis,HENRY EDILSON SUÁREZ JIMÉNEZ,Alcalde,8348115-8348102-8348720-8348716,contactenos@sanluis-antioquia.gov.co;,,POINT (-74.991688 6.041977)
San Pedro de los Milagros,GUSTAVO LEÓN ZAPATA BARRIENTOS,Alcalde,8687039-8205502-8205033,alcaldia@sanpedrodelosmilagros-antioquia.gov.co;,,POINT (-75.555639 6.461625)
San Pedro de Urabá,LEYDA ADRIANA ORTEGA ALMARIO,Alcaldesa,8205502-8205503-8205033,alcaldia@sanpedrodeuraba-antioquia.gov.co;,,POINT (-76.383671 8.28003)
San Rafael,LIBARDO DE JESÚS CIRO MORALES,Alcalde,8586681-8586927-8586836-8586681,alcaldia@sanrafael-antioquia.gov.co;,,POINT (-75.028304 6.295187)
San Roque,JAVIER ALBERTO LÓPEZ GARCÍA,Alcalde,8656562-8656755-8656628,alcaldia@sanroque-antioquia.gov.co;,,POINT (-75.019627 6.485836)
San Vicente Ferrer,YIMI ARLEY GIRALDO MARÍN,Alcalde,8544938-8544212-8544154-8544856,alcaldia@sanvicente-antioquia.gov.co;,,POINT (-75.331782 6.282678)
Santa Bárbara,LUIS FERNANDO TANGARIFE CARDONA,Alcalde,8461060-8463607-8464151-8464302,alcaldia@santabarbara-antioquia.gov.co;contactenos@santabarbara-antioquia.gov.co;,,POINT (-75.568167 5.874215)
Santa Fe de Antioquia,ANDRÉS FELIPE PARDO SERNA,Alcalde,8531136-8531793-8531152-8531841,alcaldia@santafedeantioquia-antioquia.gov.co;,,POINT (-75.827423 6.555923)
Santa Rosa de Osos,CARLOS ALBERTO POSADA ZAPATA,Alcalde,8608020-8608336-8608120-8608416,alcaldia@santarosadeosos.gov.co;comunicaciones@santarosadeosos.gov.co;,,POINT (-75.460408 6.64915)
Santo Domingo,MARIO ALBERTO MONSALVE HERNÁNDEZ,Alcalde,8621069-8621101 Ext 103 - 8621313,contactenos@santodomingo-antioquia.gov.co;,,POINT (-75.164398 6.471292)
Segovia,DÍDIER ALEXÁNDER OSORIO GIRALDO,Alcalde,8314351-8315613-8317196-8314031,alcaldia@segovia-antioquia.gov.co;,,POINT (-74.700758 7.081479)
Sonsón,EDWIN ANDRÉS MONTES HENAO,Alcalde,8694444-8691296,alcalde@sonson-antioquia.gov.co;,,POINT (-75.310449 5.709311)
Sopetrán,DIEGO ALEJANDRO VILLA VALDERRAMA,Alcalde,8541560 ext. 102 - 8541561,alcaldia@sopetran-antioquia.gov.co;contactenos@sopetran-antioquia.gov.co;,,POINT (-75.742752 6.501266)
Támesis,JUAN MARTÍN VÁSQUEZ HINCAPIÉ,Alcalde,8494595-8496010-,alcaldia@tamesis-antioquia.gov.co;,,POINT (-75.712622 5.662407)
Tarazá,MARIO ELIÉCER SIERRA CORREA,Alcalde,8365628-8366288-8365817,alcaldia@taraza-antioquia.gov.co;,,POINT (-75.400349 7.580788)
Tarso,FREDY ALBERTO HURTADO PÉREZ,Alcalde,8458541-8458780-8458535-8458718-8458639-8458991,alcaldia@tarso-antioquia.gov.co;contactenos@tarso-antioquia.gov.co;,,POINT (-75.822176 5.865627)
Titiribí,JAIME HUMBERTO SALAZAR BOTERO,Alcalde,8482649-8482344-8482790,alcaldia@titiribi-antioquia.gov.co;contactenos@titiribi-antioquia.gov.co;,,POINT (-75.793343 6.06355)
Toledo,ASTRID ELENA CHAVARRÍA CORREA,Alcaldesa,8619020 - 8619012,alcaldia@toledo-antioquia.gov.co;,,POINT (-75.691435 7.011318)
Turbo,ANDRÉS FELIPE MATURANA GONZÁLEZ,Alcalde,8273273 Ext 11-8275159-8272140,alcaldia@turbo-antioquia.gov.co;,,POINT (-76.716124 8.093387)
Uramita,JESÚS MARÍA RÚA ARIAS,Alcalde,8574062-8574066-8574131-8574240-8574169,alcaldia@uramita-antioquia.gov.co;,,POINT (-76.266639 7.001396)
Urrao,OSWALDO SEPÚLVEDA VÉLEZ,Alcalde,8502300-8502181-8502145-8502181,alcaldia@urrao-antioquia.gov.co;,,POINT (-76.134084 6.321471)
Valdivia,OLGA CECILIA ARROYAVE MOLINA,Alcaldesa,8360412-8360246-8360406-8360400-8360264,alcaldia@valdivia-antioquia.gov.co;,,POINT (-75.391627 7.292119)
Valparaíso,JAIME ALBERTO RINCÓN GALVIS,Alcalde,8493807-8493882-8492109,alcaldia@valparaiso-antioquia.gov.co;,,POINT (-75.624281 5.616023)
Vegachí,DEISON ULILO ACEVEDO MÉNDEZ,Alcalde,8305625-8305626-8305006-8305318,alcaldia@vegachi-antioquia.gov.co;contactenos@vegachi-antioquia.gov.co;,,POINT (-74.797973 6.771132)
Venecia,ÓSCAR ANDRÉS SÁNCHEZ ÁLVAREZ,Alcalde,8490042-8490023-8490052,alcaldia@venecia-antioquia.gov.co;contactenos@venecia-antioquia.gov.co;,,POINT (-75.734171 5.962963)
Vigía del Fuerte,FÉLIX NEFTELIO SANTOS PESTAÑA,Alcalde,8678080-8678034-8678175,contactenos@vigiadelfuerte-antioquia.gov.co;,,POINT (-76.896177 6.589519)
Yalí,LUIS NORBERTO PIEDRAHITA LLANO,Alcalde,8675023-8675653-8675656,alcaldia@yali-antioquia.gov.co;,,POINT (-74.842543 6.674567)
Yarumal,MIGUEL ÁNGEL PELÁEZ HENAO,Alcalde,8537429-8537430-8537429,alcaldia@yarumal.gov.co;alcaldiayarumal@gmail.com;,,POINT (-75.417545 6.962722)
Yolombó,IVÁN ANTONIO OCHOA GÓMEZ,Alcalde,8654181-8654337-8654200-8655312,alcaldia@yolombo-antioquia.gov.co;,,POINT (-75.012655 6.598773)
Yondó,FABIÁN ANTONIO ECHAVARRÍA RANGEL,Alcalde,8325109-8325461-8325025-8325212-8325111,alcaldia@yondo-antioquia.gov.co;,,POINT (-73.910873 7.005055)
Zaragoza,VÍCTOR DARÍO PERLAZA HINESTROZA,Alcalde,8388209-8388221-8388209-8388123,alcaldia@zaragoza-antioquia.gov.co;contactenos@zaragoza-antioquia.gov.co;,,POINT (-74.868035 7.492444)
